pair_id,trial,participant,moving,fixed,overlap,bone_dice_at_reference,condition,repeat,seed,method,init_mtre_mm,mtre_mm,success,improved,residual_translation_mm,residual_rotation_deg,dice,ncc,seconds,converged
PA001_trial_A_V9-V10,PA001_trial_A,PA001,9,10,0.6973,0.017,EASY,0,1981127722,intensity,0.8473,2.4723,True,False,2.0392,1.4229,0.0807,0.8598,4.008,True
PA001_trial_A_V9-V10,PA001_trial_A,PA001,9,10,0.6973,0.017,EASY,0,1981127722,anatomy,0.8473,13.92,False,False,7.8909,21.5578,0.1423,0.6862,0.117,False
PA001_trial_A_V9-V10,PA001_trial_A,PA001,9,10,0.6973,0.017,EASY,1,1032606013,intensity,0.9893,2.6452,True,False,1.9056,2.8,0.0743,0.8572,3.463,True
PA001_trial_A_V9-V10,PA001_trial_A,PA001,9,10,0.6973,0.017,EASY,1,1032606013,anatomy,0.9893,14.6711,False,False,7.6072,23.4728,0.1282,0.6699,0.104,False
PA001_trial_A_V9-V10,PA001_trial_A,PA001,9,10,0.6973,0.017,EASY,2,1129389055,intensity,0.6335,2.9598,True,False,1.5038,3.7195,0.0655,0.8603,3.878,True
PA001_trial_A_V9-V10,PA001_trial_A,PA001,9,10,0.6973,0.017,EASY,2,1129389055,anatomy,0.6335,14.654,False,False,7.6136,23.4423,0.1285,0.67,0.104,False
PA001_trial_A_V9-V10,PA001_trial_A,PA001,9,10,0.6973,0.017,MEDIUM,0,89709664,intensity,1.1974,2.3944,True,False,2.0567,1.3806,0.0705,0.859,4.087,True
PA001_trial_A_V9-V10,PA001_trial_A,PA001,9,10,0.6973,0.017,MEDIUM,0,89709664,anatomy,1.1974,14.2474,False,False,8.0581,22.6821,0.1275,0.6826,0.101,False
PA001_trial_A_V9-V10,PA001_trial_A,PA001,9,10,0.6973,0.017,MEDIUM,1,381267258,intensity,3.583,2.6486,True,True,2.1381,1.9761,0.0765,0.8604,3.293,True
PA001_trial_A_V9-V10,PA001_trial_A,PA001,9,10,0.6973,0.017,MEDIUM,1,381267258,anatomy,3.583,13.6507,False,False,8.7101,20.9282,0.1466,0.6902,0.089,False
PA001_trial_A_V9-V10,PA001_trial_A,PA001,9,10,0.6973,0.017,MEDIUM,2,1840093073,intensity,2.6252,9.7488,False,False,8.4144,9.0213,0.0,0.8345,5.64,True
